user,listened,total,percentage,hits,status
arubaes,302,306,98.69281045751634,233,ok
sasagon,301,306,98.36601307189542,198,ok
smsuna,298,306,97.38562091503267,131,ok
xiaoyuan1974,291,306,95.09803921568627,121,ok
mkohka,290,306,94.77124183006535,116,ok
Mr_Tonmon,289,306,94.44444444444444,124,ok
bdp_izumikonata,288,306,94.11764705882352,179,ok
ulkeiji,288,306,94.11764705882352,147,ok
isaya,284,306,92.81045751633987,134,ok
D632511_ken,284,306,92.81045751633987,95,ok
thesparu,274,306,89.54248366013073,149,ok
tag_naka,274,306,89.54248366013073,140,ok
acyl,274,306,89.54248366013073,105,ok
js81364300,272,306,88.88888888888889,114,ok
0723Topload,268,306,87.58169934640523,120,ok
zzwataruzz,266,306,86.9281045751634,132,ok
M_saru_R,265,306,86.60130718954248,123,ok
dangoworld,264,306,86.27450980392157,155,ok
zahato_55,264,306,86.27450980392157,76,ok
256,263,306,85.94771241830065,136,ok
HABORYM_,263,306,85.94771241830065,123,ok
scar_bullet,262,306,85.62091503267973,98,ok
s2_engine,261,306,85.29411764705883,67,ok
Bdo509JY1eDGtPv,260,306,84.9673202614379,107,ok
pio_pio_111,259,306,84.640522875817,149,ok
Jaao_glass,259,306,84.640522875817,140,ok
Yakitori_nine,258,306,84.31372549019608,148,ok
matchaice,258,306,84.31372549019608,106,ok
xyzalsk,257,306,83.98692810457517,80,ok
tattsu17003,256,306,83.66013071895425,73,ok
onceingen,255,306,83.33333333333334,123,ok
tomoaki_0120,255,306,83.33333333333334,120,ok
nagi_emon,255,306,83.33333333333334,113,ok
Anime_Love616,255,306,83.33333333333334,89,ok
taktak,255,306,83.33333333333334,76,ok
hiro_furihiro,254,306,83.00653594771242,124,ok
pure_qian,254,306,83.00653594771242,106,ok
fuji_mon,254,306,83.00653594771242,70,ok
AKN_enju,253,306,82.6797385620915,112,ok
orangesan31,252,306,82.35294117647058,135,ok
dokurowin,251,306,82.02614379084967,108,ok
tattsu_17003,251,306,82.02614379084967,67,ok
Hakuro_0207,250,306,81.69934640522875,82,ok
kura_0823,250,306,81.69934640522875,66,ok
Lion_Morbid,249,306,81.37254901960785,109,ok
doorist,249,306,81.37254901960785,89,ok
cerveza_no13,249,306,81.37254901960785,88,ok
Chelsealily,247,306,80.71895424836602,97,ok
yodared,246,306,80.3921568627451,144,ok
ephemerum,246,306,80.3921568627451,101,ok
nyoronyoron,245,306,80.06535947712419,117,ok
ninneko77,245,306,80.06535947712419,73,ok
chiiiba_gel,244,306,79.73856209150327,123,ok
masao_do228,243,306,79.41176470588235,84,ok
gumix777,243,306,79.41176470588235,73,ok
zhtsoso,242,306,79.08496732026144,66,ok
acrabace,241,306,78.75816993464052,106,ok
circlekimitan,241,306,78.75816993464052,76,ok
_ktomoya,240,306,78.43137254901961,93,ok
ayaya3510,240,306,78.43137254901961,75,ok
Eaker_765P,239,306,78.10457516339869,85,ok
